seed,alpha,bandwidth,top1_all_mean,top1_all_std,top1_dom_mean,top1_dom_std,mae_mean,r2_mean,threshold_met
13,0.3,20.0,0.9639999999999999,0.012806248474865708,0.9786050964949846,0.006389449176458654,0.016602508486034662,0.994769148530046,True
13,0.5,8.0,0.96,0.012649110640673528,0.9863248168010349,0.005858524983080383,0.019363761626809174,0.991753079673666,True
13,0.5,10.0,0.96,0.012649110640673528,0.9863248168010349,0.005858524983080383,0.019364295408996084,0.991750945066548,True
13,0.5,12.0,0.96,0.012649110640673528,0.9863248168010349,0.005858524983080383,0.019367587728497997,0.9917465973243408,True
13,0.5,15.0,0.959,0.01319090595827293,0.9863248168010349,0.005858524983080383,0.019387531082280824,0.9917263569863637,True
13,0.5,20.0,0.961,0.01019803902718558,0.9885993798200003,0.006232639402975856,0.01963157099416881,0.9915591442014173,True
13,1.0,8.0,0.942,0.017492855684535867,0.9919121166482843,0.005123422191048218,0.022833396405422014,0.9837875448760489,True
13,1.0,10.0,0.942,0.017492855684535867,0.9919121166482843,0.005123422191048218,0.022835808750052686,0.9837924827444583,True
13,1.0,12.0,0.9430000000000002,0.018867962264113174,0.9919121166482843,0.005123422191048218,0.022843068618485944,0.9837951373638371,True
13,1.0,15.0,0.9460000000000001,0.02130727575266249,0.9919121166482843,0.005123422191048218,0.022878035540432252,0.9837772401770751,True
13,1.0,20.0,0.9440000000000002,0.018814887722226743,0.9906134153495829,0.0034624364218687306,0.023166392869346138,0.9835035165099921,True
21,0.3,8.0,0.976,0.008602325267042634,0.9861386309744062,0.006488314987902457,0.01660580261124183,0.9947944032486354,True
21,0.3,10.0,0.976,0.008602325267042634,0.9861386309744062,0.006488314987902457,0.016615052721271256,0.9947918293701188,True
21,0.3,12.0,0.975,0.009486832980505146,0.9861386309744062,0.006488314987902457,0.01663716890560974,0.9947865079050129,True
21,0.3,15.0,0.975,0.009486832980505146,0.9861386309744062,0.006488314987902457,0.016699511665198376,0.9947682932912993,True
21,0.3,20.0,0.976,0.008602325267042634,0.9861386309744062,0.006488314987902457,0.017114882449004727,0.9946381270361224,True
21,0.5,8.0,0.9720000000000001,0.00509901951359279,0.989890980083446,0.006634850113550324,0.019077021059590332,0.9922274272898436,True
21,0.5,10.0,0.9720000000000001,0.00509901951359279,0.989890980083446,0.006634850113550324,0.01909067550600679,0.9922120431555724,True
21,0.5,12.0,0.9720000000000001,0.00509901951359279,0.9887860077077555,0.006226905799643437,0.019115377298185198,0.9921875772175264,True
21,0.5,15.0,0.9720000000000001,0.00509901951359279,0.9887860077077555,0.006226905799643437,0.019184116011188836,0.9921199581522633,True
21,0.5,20.0,0.9720000000000001,0.00509901951359279,0.9887860077077555,0.006226905799643437,0.019604576901938633,0.9918034122942248,True
21,1.0,8.0,0.9559999999999998,0.006633249580710806,0.9960099370372802,0.0032659012221299944,0.021692229230144043,0.9854147300471393,True
21,1.0,10.0,0.9559999999999998,0.006633249580710806,0.9960099370372802,0.0032659012221299944,0.021693370407991387,0.9854163451686311,True
21,1.0,12.0,0.9550000000000001,0.008366600265340763,0.9960099370372802,0.0032659012221299944,0.021695316304014223,0.9854135587824334,True
21,1.0,15.0,0.9570000000000001,0.009797958971132722,0.9960099370372802,0.0032659012221299944,0.021717044449450055,0.9853798601294883,True
21,1.0,20.0,0.9560000000000001,0.010198039027185577,0.9960099370372802,0.0032659012221299944,0.021979289465478825,0.985060300065334,True
42,0.3,8.0,0.9709999999999999,0.004898979485566361,0.9871569644842401,0.006415462343205026,0.015970036356254026,0.995157192598587,True
42,0.3,10.0,0.9709999999999999,0.004898979485566361,0.9871569644842401,0.006415462343205026,0.015974639910364213,0.9951573955351691,True
42,0.3,12.0,0.9709999999999999,0.004898979485566361,0.9871569644842401,0.006415462343205026,0.01598710033611684,0.9951536514736674,True
42,0.3,15.0,0.9719999999999999,0.006000000000000005,0.9871569644842401,0.006415462343205026,0.016055548326023808,0.9951295876295587,True
42,0.3,20.0,0.97,0.006324555320336764,0.9860874457676626,0.00800104467543811,0.016607832164905766,0.9949380666433167,True
42,0.5,8.0,0.9709999999999999,0.0037416573867739447,0.9897118935279929,0.004294557254684136,0.020150226823129405,0.9913588786113339,True
